Name,Roll_No,Address,Institute,Course,Email
Aarav,1962001,"10/1, Main Street, Gandhi Nagar, Bangalore - 560008, Karnataka",LMN Institute of Technology,Bachelors of Technology,aarav342@gmail.com
Dhruv,1473502,"Door No. 12-2-417/A, Bank Colony Road, Ruknuddin Bagh, Hyderabad - 500032, Telangana",DEF Management Institute,Masters of Business Administration,dhruv124@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Aarav,1962001,"10/1, Main Street, Gandhi Nagar, Bangalore - 560008, Karnataka",LMN Institute of Technology,Bachelors of Technology,aarav342@gmail.com
Aarav,1962001,"10/1, Main Street, Gandhi Nagar, Bangalore - 560008, Karnataka",LMN Institute of Technology,Bachelors of Technology,aarav342@gmail.com
Aarav,1962001,"10/1, Main Street, Gandhi Nagar, Bangalore - 560008, Karnataka",LMN Institute of Technology,Bachelors of Technology,aarav342@gmail.com
Aarav,1962001,"10/1, Main Street, Gandhi Nagar, Bangalore - 560008, Karnataka",LMN Institute of Technology,Bachelors of Technology,aarav342@gmail.com
Dhruv,1473502,"Door No. 12-2-417/A, Bank Colony Road, Ruknuddin Bagh, Hyderabad - 500032, Telangana",DEF Management Institute,Masters of Business Administration,dhruv124@gmail.com
Dhruv,1473502,"Door No. 12-2-417/A, Bank Colony Road, Ruknuddin Bagh, Hyderabad - 500032, Telangana",DEF Management Institute,Masters of Business Administration,dhruv124@gmail.com
Dhruv,1473502,"Door No. 12-2-417/A, Bank Colony Road, Ruknuddin Bagh, Hyderabad - 500032, Telangana",DEF Management Institute,Masters of Business Administration,dhruv124@gmail.com
Dhruv,1473502,"Door No. 12-2-417/A, Bank Colony Road, Ruknuddin Bagh, Hyderabad - 500032, Telangana",DEF Management Institute,Masters of Business Administration,dhruv124@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
Sahil,1762503,"H.No. 8-2-123/456, Sri Nagar Colony, Road No. 1, Banjara Hills, Hyderabad - 500034, Telangana",MNO Medical College,Bachelor of Unani Medicine and Surgery,sahil879@gmail.com
